NWB file name,NWB file size (GB),Recording duration (min),Cortical area,Single unit yield,Average signal-to-noise ratio of single units,Power spectral density at 50 Hz (dB/Hz),50 Hz/49 Hz ratio,RMS noise level (300 - 6000 Hz),RMS signal level (300 - 6000 Hz)
Rat01_Insertion1_Depth1,13.02,60.11,S1HL,66,12.88,47.39,1.83,8.61,12.22
Rat01_Insertion1_Depth2,13.39,61.48,S1HL,91,8.29,47.33,1.70,8.57,18.38
Rat01_Insertion1_Depth3,13.01,60.05,S1HL,50,8.54,47.28,1.78,9.58,15.55
Rat01_Insertion2_Depth1,6.54,30.21,M1,31,6.46,46.75,1.96,9.90,13.44
Rat01_Insertion2_Depth2,8.65,39.88,M1,100,11.61,44.59,1.72,8.81,18.97
Rat01_Insertion2_Depth3,8.67,40.63,M1,5,7.80,46,1.73,8.39,11.12
Rat02_Insertion1_Depth1,12.82,60.14,PtA,55,11.96,28.74,1.33,4.28,12.56
Rat02_Insertion1_Depth2,11.92,56.37,PtA,46,13.28,25.66,1.09,4.31,9.03
Rat02_Insertion2_Depth1,12.74,60.21,M2,43,13.99,30.73,1.57,4.06,8.70
Rat02_Insertion2_Depth2,12.56,60.03,M2,40,10.65,30.19,1.19,4.57,7.69
Rat03_Insertion1_Depth1,13.07,60.06,S1HL,66,15.79,36.83,1.49,5.15,14.52
Rat03_Insertion1_Depth2,13.45,60.92,S1HL,147,12.24,37.05,1.41,4.64,19.80
Rat03_Insertion1_Depth3,12.79,60.69,S1HL,36,10.15,37.67,1.36,4.75,8.33
Rat03_Insertion2_Depth1,9.87,47.13,M1,2,7.74,31.41,1.62,4.02,6.21
Rat03_Insertion2_Depth2,12.15,57.37,M1,38,12.87,36.45,1.62,4.19,8.83
Rat04_Insertion1_Depth1,13.43,61.94,PtA,80,13.99,38.11,1.39,4.28,11.13
Rat04_Insertion1_Depth2,12.79,59.54,PtA,159,15.99,37.04,1.39,4.15,19.49
Rat04_Insertion1_Depth3,12.61,60.04,PtA,47,12.92,34.45,1.26,3.92,8.21
Rat04_Insertion2_Depth1,6.71,31.12,S1Tr,24,10.73,35.93,1.41,3.63,7.73
Rat04_Insertion2_Depth2,12.93,59.36,S1Tr,110,14.99,31.94,1.08,3.99,24.99
Rat05_Insertion1_Depth1,13.08,59.64,PtA,29,19.27,42.25,1.47,5.87,12.71
Rat05_Insertion1_Depth2,13.07,59.48,PtA,135,19.14,42.08,1.35,5.00,24.27
Rat05_Insertion1_Depth3,12.6,59.39,PtA,48,9.18,41.08,1.45,5.35,11.48
Rat05_Insertion2_Depth1,13.16,60.47,PtA,82,13.98,40.46,1.60,4.37,14.84
Rat05_Insertion2_Depth2,12.94,60.03,PtA,92,12.45,39.85,1.40,4.58,11.81
